Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/tasks/,2697,0,49,134.12413355574978,4.845299998123664,2592.1583000017563,126342.65702632554,11.267151932071684,0.0,49,94,150,210,370,530,810,1000,1600,2600,2600
POST,/tasks/,2749,0,37,194.31262408151733,6.881199995405041,2940.7194000013988,89.75481993452165,11.484390308218412,0.0,37,94,180,280,600,970,1400,1800,2800,2900,2900
DELETE,/tasks/1003,1,0,52.84340000071097,52.84340000071097,52.84340000071097,52.84340000071097,0.0,0.004177661079744785,0.0,53,53,53,53,53,53,53,53,53,53,53
PUT,/tasks/1004,1,0,182.87899999995716,182.87899999995716,182.87899999995716,182.87899999995716,97.0,0.004177661079744785,0.0,180,180,180,180,180,180,180,180,180,180,180
PATCH,/tasks/1005,1,0,11.373499997716863,11.373499997716863,11.373499997716863,11.373499997716863,97.0,0.004177661079744785,0.0,11,11,11,11,11,11,11,11,11,11,11
PUT,/tasks/1005,1,0,21.943199993984308,21.943199993984308,21.943199993984308,21.943199993984308,97.0,0.004177661079744785,0.0,22,22,22,22,22,22,22,22,22,22,22
PATCH,/tasks/1006,1,0,20.921800001815427,20.921800001815427,20.921800001815427,20.921800001815427,89.0,0.004177661079744785,0.0,21,21,21,21,21,21,21,21,21,21,21
GET,/tasks/1007,2,0,6.059400002413895,25.253499999962514,6.059400002413895,44.44759999751113,90.0,0.00835532215948957,0.0,44,44,44,44,44,44,44,44,44,44,44
PUT,/tasks/1008,1,0,17.428799998015165,17.428799998015165,17.428799998015165,17.428799998015165,97.0,0.004177661079744785,0.0,17,17,17,17,17,17,17,17,17,17,17
PATCH,/tasks/1012,1,0,11.481800000183284,11.481800000183284,11.481800000183284,11.481800000183284,90.0,0.004177661079744785,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/tasks/1013,1,0,65.44330000178888,65.44330000178888,65.44330000178888,65.44330000178888,90.0,0.004177661079744785,0.0,65,65,65,65,65,65,65,65,65,65,65
PATCH,/tasks/1013,1,0,22.87100000103237,22.87100000103237,22.87100000103237,22.87100000103237,89.0,0.004177661079744785,0.0,23,23,23,23,23,23,23,23,23,23,23
DELETE,/tasks/1014,1,0,10.022799993748777,10.022799993748777,10.022799993748777,10.022799993748777,0.0,0.004177661079744785,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/tasks/1015,1,0,11.130700004287064,11.130700004287064,11.130700004287064,11.130700004287064,90.0,0.004177661079744785,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/tasks/1017,3,0,7,6.849933335615788,4.242900002282113,8.832999999867752,90.0,0.012532983239234354,0.0,7,7,9,9,9,9,9,9,9,9,9
PATCH,/tasks/1017,1,0,51.98670000390848,51.98670000390848,51.98670000390848,51.98670000390848,90.0,0.004177661079744785,0.0,52,52,52,52,52,52,52,52,52,52,52
PUT,/tasks/1017,1,0,22.76020000135759,22.76020000135759,22.76020000135759,22.76020000135759,97.0,0.004177661079744785,0.0,23,23,23,23,23,23,23,23,23,23,23
DELETE,/tasks/1019,1,0,84.87279999826569,84.87279999826569,84.87279999826569,84.87279999826569,0.0,0.004177661079744785,0.0,85,85,85,85,85,85,85,85,85,85,85
PATCH,/tasks/1019,1,0,9.361299999000039,9.361299999000039,9.361299999000039,9.361299999000039,89.0,0.004177661079744785,0.0,9,9,9,9,9,9,9,9,9,9,9
PATCH,/tasks/1022,1,0,9.15299999905983,9.15299999905983,9.15299999905983,9.15299999905983,90.0,0.004177661079744785,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/tasks/1023,1,0,10.463999999046791,10.463999999046791,10.463999999046791,10.463999999046791,90.0,0.004177661079744785,0.0,10,10,10,10,10,10,10,10,10,10,10
PATCH,/tasks/1023,2,0,36.18840000126511,57.643100000859704,36.18840000126511,79.0978000004543,89.5,0.00835532215948957,0.0,79,79,79,79,79,79,79,79,79,79,79
GET,/tasks/1024,1,0,4.365900000266265,4.365900000266265,4.365900000266265,4.365900000266265,90.0,0.004177661079744785,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/tasks/1025,2,0,6,5.800949998956639,5.526699998881668,6.075199999031611,93.5,0.00835532215948957,0.0,6,6,6,6,6,6,6,6,6,6,6
PATCH,/tasks/1025,2,0,8,22.344849996443372,7.500299994717352,37.18939999816939,94.0,0.00835532215948957,0.0,37,37,37,37,37,37,37,37,37,37,37
PUT,/tasks/1025,1,0,13.31439999921713,13.31439999921713,13.31439999921713,13.31439999921713,97.0,0.004177661079744785,0.0,13,13,13,13,13,13,13,13,13,13,13
DELETE,/tasks/1027,1,0,9.849399997619912,9.849399997619912,9.849399997619912,9.849399997619912,0.0,0.004177661079744785,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/tasks/1027,1,0,5.448699994303752,5.448699994303752,5.448699994303752,5.448699994303752,97.0,0.004177661079744785,0.0,5,5,5,5,5,5,5,5,5,5,5
PATCH,/tasks/1027,1,0,5.4286000013235025,5.4286000013235025,5.4286000013235025,5.4286000013235025,97.0,0.004177661079744785,0.0,5,5,5,5,5,5,5,5,5,5,5
PUT,/tasks/1027,1,0,21.84040000429377,21.84040000429377,21.84040000429377,21.84040000429377,97.0,0.004177661079744785,0.0,22,22,22,22,22,22,22,22,22,22,22
DELETE,/tasks/1030,1,0,54.231200003414415,54.231200003414415,54.231200003414415,54.231200003414415,0.0,0.004177661079744785,0.0,54,54,54,54,54,54,54,54,54,54,54
GET,/tasks/1030,1,0,4.993000002286863,4.993000002286863,4.993000002286863,4.993000002286863,90.0,0.004177661079744785,0.0,5,5,5,5,5,5,5,5,5,5,5
PATCH,/tasks/1030,1,0,4.121400001167785,4.121400001167785,4.121400001167785,4.121400001167785,90.0,0.004177661079744785,0.0,4,4,4,4,4,4,4,4,4,4,4
DELETE,/tasks/1032,1,0,27.62059999804478,27.62059999804478,27.62059999804478,27.62059999804478,0.0,0.004177661079744785,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/tasks/1032,2,0,4.032299999380484,11.635850001766812,4.032299999380484,19.23940000415314,90.0,0.00835532215948957,0.0,19,19,19,19,19,19,19,19,19,19,19
DELETE,/tasks/1033,1,0,8.705600004759617,8.705600004759617,8.705600004759617,8.705600004759617,0.0,0.004177661079744785,0.0,9,9,9,9,9,9,9,9,9,9,9
PUT,/tasks/1034,1,0,24.626899998111185,24.626899998111185,24.626899998111185,24.626899998111185,96.0,0.004177661079744785,0.0,25,25,25,25,25,25,25,25,25,25,25
GET,/tasks/1035,1,0,3.516299999319017,3.516299999319017,3.516299999319017,3.516299999319017,97.0,0.004177661079744785,0.0,4,4,4,4,4,4,4,4,4,4,4
PUT,/tasks/1035,2,0,52.46400000032736,61.153300001024036,52.46400000032736,69.84260000172071,97.0,0.00835532215948957,0.0,70,70,70,70,70,70,70,70,70,70,70
PATCH,/tasks/1036,1,0,60.51180000213208,60.51180000213208,60.51180000213208,60.51180000213208,89.0,0.004177661079744785,0.0,61,61,61,61,61,61,61,61,61,61,61
PUT,/tasks/1036,1,0,9.310699999332428,9.310699999332428,9.310699999332428,9.310699999332428,97.0,0.004177661079744785,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/tasks/1037,1,0,8.312899997690693,8.312899997690693,8.312899997690693,8.312899997690693,89.0,0.004177661079744785,0.0,8,8,8,8,8,8,8,8,8,8,8
PATCH,/tasks/1037,2,0,10.23200000054203,11.344649999955436,10.23200000054203,12.457299999368843,89.0,0.00835532215948957,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/tasks/1040,1,0,34.792700003890786,34.792700003890786,34.792700003890786,34.792700003890786,90.0,0.004177661079744785,0.0,35,35,35,35,35,35,35,35,35,35,35
PATCH,/tasks/1040,1,0,6.475000001955777,6.475000001955777,6.475000001955777,6.475000001955777,90.0,0.004177661079744785,0.0,6,6,6,6,6,6,6,6,6,6,6
PATCH,/tasks/1043,1,0,35.386000003200024,35.386000003200024,35.386000003200024,35.386000003200024,90.0,0.004177661079744785,0.0,35,35,35,35,35,35,35,35,35,35,35
PUT,/tasks/1043,1,0,10.220999996818136,10.220999996818136,10.220999996818136,10.220999996818136,97.0,0.004177661079744785,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/tasks/1044,1,0,52.72460000560386,52.72460000560386,52.72460000560386,52.72460000560386,90.0,0.004177661079744785,0.0,53,53,53,53,53,53,53,53,53,53,53
PATCH,/tasks/1044,1,0,119.06010000529932,119.06010000529932,119.06010000529932,119.06010000529932,89.0,0.004177661079744785,0.0,120,120,120,120,120,120,120,120,120,120,120
PUT,/tasks/1046,1,0,8.232399995904416,8.232399995904416,8.232399995904416,8.232399995904416,97.0,0.004177661079744785,0.0,8,8,8,8,8,8,8,8,8,8,8
PATCH,/tasks/1047,1,0,22.82310000009602,22.82310000009602,22.82310000009602,22.82310000009602,89.0,0.004177661079744785,0.0,23,23,23,23,23,23,23,23,23,23,23
PUT,/tasks/1048,2,0,40,83.8311999978032,39.833699993323535,127.82870000228286,97.0,0.00835532215948957,0.0,130,130,130,130,130,130,130,130,130,130,130
PATCH,/tasks/1049,1,0,5.2790999980061315,5.2790999980061315,5.2790999980061315,5.2790999980061315,90.0,0.004177661079744785,0.0,5,5,5,5,5,5,5,5,5,5,5
PATCH,/tasks/1051,1,0,9.41919999604579,9.41919999604579,9.41919999604579,9.41919999604579,88.0,0.004177661079744785,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/tasks/1054,1,0,67.86510000529233,67.86510000529233,67.86510000529233,67.86510000529233,90.0,0.004177661079744785,0.0,68,68,68,68,68,68,68,68,68,68,68
GET,/tasks/1055,1,0,28.88140000140993,28.88140000140993,28.88140000140993,28.88140000140993,90.0,0.004177661079744785,0.0,29,29,29,29,29,29,29,29,29,29,29
PUT,/tasks/1056,1,0,86.96299999428447,86.96299999428447,86.96299999428447,86.96299999428447,97.0,0.004177661079744785,0.0,87,87,87,87,87,87,87,87,87,87,87
DELETE,/tasks/1057,1,0,21.802300005219877,21.802300005219877,21.802300005219877,21.802300005219877,0.0,0.004177661079744785,0.0,22,22,22,22,22,22,22,22,22,22,22
GET,/tasks/1057,1,0,35.695500002475455,35.695500002475455,35.695500002475455,35.695500002475455,90.0,0.004177661079744785,0.0,36,36,36,36,36,36,36,36,36,36,36
DELETE,/tasks/1059,1,0,56.49020000419114,56.49020000419114,56.49020000419114,56.49020000419114,0.0,0.004177661079744785,0.0,56,56,56,56,56,56,56,56,56,56,56
DELETE,/tasks/1061,1,0,11.459200002718717,11.459200002718717,11.459200002718717,11.459200002718717,0.0,0.004177661079744785,0.0,11,11,11,11,11,11,11,11,11,11,11
PUT,/tasks/1061,1,0,43.460300003062,43.460300003062,43.460300003062,43.460300003062,97.0,0.004177661079744785,0.0,43,43,43,43,43,43,43,43,43,43,43
GET,/tasks/1062,1,0,23.208300000987947,23.208300000987947,23.208300000987947,23.208300000987947,90.0,0.004177661079744785,0.0,23,23,23,23,23,23,23,23,23,23,23
PUT,/tasks/1062,1,0,20.717100000183564,20.717100000183564,20.717100000183564,20.717100000183564,97.0,0.004177661079744785,0.0,21,21,21,21,21,21,21,21,21,21,21
GET,/tasks/1064,4,0,10,10.887299999012612,3.807000000961125,15.892099996563047,90.0,0.01671064431897914,0.0,13,13,16,16,16,16,16,16,16,16,16
PATCH,/tasks/1064,2,0,6.298599997535348,7.2958999990078155,6.298599997535348,8.293200000480283,90.0,0.00835532215948957,0.0,8,8,8,8,8,8,8,8,8,8,8
PUT,/tasks/1065,1,0,56.287999999767635,56.287999999767635,56.287999999767635,56.287999999767635,97.0,0.004177661079744785,0.0,56,56,56,56,56,56,56,56,56,56,56
PATCH,/tasks/1066,1,0,51.935100003902335,51.935100003902335,51.935100003902335,51.935100003902335,89.0,0.004177661079744785,0.0,52,52,52,52,52,52,52,52,52,52,52
PUT,/tasks/1066,1,0,61.68299999990268,61.68299999990268,61.68299999990268,61.68299999990268,97.0,0.004177661079744785,0.0,62,62,62,62,62,62,62,62,62,62,62
DELETE,/tasks/1068,1,0,66.92230000044219,66.92230000044219,66.92230000044219,66.92230000044219,0.0,0.004177661079744785,0.0,67,67,67,67,67,67,67,67,67,67,67
GET,/tasks/1069,1,0,5.791400006273761,5.791400006273761,5.791400006273761,5.791400006273761,97.0,0.004177661079744785,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/tasks/1069,1,0,10.591099999146536,10.591099999146536,10.591099999146536,10.591099999146536,97.0,0.004177661079744785,0.0,11,11,11,11,11,11,11,11,11,11,11
DELETE,/tasks/1070,1,0,20.419399996171705,20.419399996171705,20.419399996171705,20.419399996171705,0.0,0.004177661079744785,0.0,20,20,20,20,20,20,20,20,20,20,20
GET,/tasks/1072,2,0,5.060900002717972,36.41560000323807,5.060900002717972,67.77030000375817,98.0,0.00835532215948957,0.0,68,68,68,68,68,68,68,68,68,68,68
PATCH,/tasks/1072,3,0,9,25.8111333338699,7.965199998579919,60.7462999978452,97.66666666666667,0.012532983239234354,0.0,9,9,61,61,61,61,61,61,61,61,61
PUT,/tasks/1072,2,0,12,40.64294999989215,11.999799993645865,69.28610000613844,97.0,0.00835532215948957,0.0,69,69,69,69,69,69,69,69,69,69,69
PATCH,/tasks/1074,1,0,25.826700002653524,25.826700002653524,25.826700002653524,25.826700002653524,90.0,0.004177661079744785,0.0,26,26,26,26,26,26,26,26,26,26,26
PUT,/tasks/1075,1,0,9.84020000032615,9.84020000032615,9.84020000032615,9.84020000032615,97.0,0.004177661079744785,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/tasks/1076,1,0,3.8447999977506697,3.8447999977506697,3.8447999977506697,3.8447999977506697,90.0,0.004177661079744785,0.0,4,4,4,4,4,4,4,4,4,4,4
DELETE,/tasks/1082,1,0,21.929199996520765,21.929199996520765,21.929199996520765,21.929199996520765,0.0,0.004177661079744785,0.0,22,22,22,22,22,22,22,22,22,22,22
GET,/tasks/1082,1,0,4.866499999479856,4.866499999479856,4.866499999479856,4.866499999479856,90.0,0.004177661079744785,0.0,5,5,5,5,5,5,5,5,5,5,5
PATCH,/tasks/1083,1,0,34.87129999848548,34.87129999848548,34.87129999848548,34.87129999848548,89.0,0.004177661079744785,0.0,35,35,35,35,35,35,35,35,35,35,35
PUT,/tasks/1083,1,0,9.417699999175966,9.417699999175966,9.417699999175966,9.417699999175966,97.0,0.004177661079744785,0.0,9,9,9,9,9,9,9,9,9,9,9
DELETE,/tasks/1084,1,0,30.80960000079358,30.80960000079358,30.80960000079358,30.80960000079358,0.0,0.004177661079744785,0.0,31,31,31,31,31,31,31,31,31,31,31
PUT,/tasks/1084,1,0,8.472100002109073,8.472100002109073,8.472100002109073,8.472100002109073,97.0,0.004177661079744785,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/tasks/1085,1,0,6.906700000399724,6.906700000399724,6.906700000399724,6.906700000399724,90.0,0.004177661079744785,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/tasks/1087,1,0,26.126899996597786,26.126899996597786,26.126899996597786,26.126899996597786,90.0,0.004177661079744785,0.0,26,26,26,26,26,26,26,26,26,26,26
PUT,/tasks/1090,1,0,12.496299998019822,12.496299998019822,12.496299998019822,12.496299998019822,97.0,0.004177661079744785,0.0,12,12,12,12,12,12,12,12,12,12,12
PATCH,/tasks/1091,2,0,14.130300005490426,24.064700002782047,14.130300005490426,33.99910000007367,89.5,0.00835532215948957,0.0,34,34,34,34,34,34,34,34,34,34,34
GET,/tasks/1093,1,0,49.929500004509464,49.929500004509464,49.929500004509464,49.929500004509464,90.0,0.004177661079744785,0.0,50,50,50,50,50,50,50,50,50,50,50
PATCH,/tasks/1093,1,0,37.693700003728736,37.693700003728736,37.693700003728736,37.693700003728736,98.0,0.004177661079744785,0.0,38,38,38,38,38,38,38,38,38,38,38
PUT,/tasks/1093,2,0,85.37839999917196,122.88749999788706,85.37839999917196,160.39659999660216,97.0,0.00835532215948957,0.0,160,160,160,160,160,160,160,160,160,160,160
PUT,/tasks/1094,1,0,19.16400000482099,19.16400000482099,19.16400000482099,19.16400000482099,97.0,0.004177661079744785,0.0,19,19,19,19,19,19,19,19,19,19,19
DELETE,/tasks/1095,1,0,7.976699998835102,7.976699998835102,7.976699998835102,7.976699998835102,0.0,0.004177661079744785,0.0,8,8,8,8,8,8,8,8,8,8,8
PATCH,/tasks/1096,1,0,6.669700000202283,6.669700000202283,6.669700000202283,6.669700000202283,90.0,0.004177661079744785,0.0,7,7,7,7,7,7,7,7,7,7,7
PUT,/tasks/1096,1,0,25.509300001431257,25.509300001431257,25.509300001431257,25.509300001431257,97.0,0.004177661079744785,0.0,26,26,26,26,26,26,26,26,26,26,26
PATCH,/tasks/1097,1,0,9.488700001384132,9.488700001384132,9.488700001384132,9.488700001384132,89.0,0.004177661079744785,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/tasks/1098,1,0,3.391199999896344,3.391199999896344,3.391199999896344,3.391199999896344,89.0,0.004177661079744785,0.0,3,3,3,3,3,3,3,3,3,3,3
PATCH,/tasks/1098,2,0,8.29389999853447,98.26780000003055,8.29389999853447,188.24170000152662,89.5,0.00835532215948957,0.0,190,190,190,190,190,190,190,190,190,190,190
GET,/tasks/1099,1,0,4.008000003523193,4.008000003523193,4.008000003523193,4.008000003523193,89.0,0.004177661079744785,0.0,4,4,4,4,4,4,4,4,4,4,4
PUT,/tasks/1099,1,0,16.83010000124341,16.83010000124341,16.83010000124341,16.83010000124341,97.0,0.004177661079744785,0.0,17,17,17,17,17,17,17,17,17,17,17
DELETE,/tasks/1100,1,0,48.022800001490396,48.022800001490396,48.022800001490396,48.022800001490396,0.0,0.004177661079744785,0.0,48,48,48,48,48,48,48,48,48,48,48
PATCH,/tasks/1100,2,0,5.87939999968512,5.8099000016227365,5.740400003560353,5.87939999968512,90.0,0.00835532215948957,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/tasks/1102,1,0,39.59909999684896,39.59909999684896,39.59909999684896,39.59909999684896,97.0,0.004177661079744785,0.0,40,40,40,40,40,40,40,40,40,40,40
GET,/tasks/1104,2,0,4,48.687250000511995,3.5849999985657632,93.78950000245823,89.5,0.00835532215948957,0.0,94,94,94,94,94,94,94,94,94,94,94
PATCH,/tasks/1104,2,0,53.15790000167908,71.02465000207303,53.15790000167908,88.89140000246698,89.5,0.00835532215948957,0.0,89,89,89,89,89,89,89,89,89,89,89
PATCH,/tasks/1106,1,0,10.237800001050346,10.237800001050346,10.237800001050346,10.237800001050346,98.0,0.004177661079744785,0.0,10,10,10,10,10,10,10,10,10,10,10
PUT,/tasks/1106,1,0,159.7271999999066,159.7271999999066,159.7271999999066,159.7271999999066,97.0,0.004177661079744785,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/tasks/1109,1,0,30.049499997403473,30.049499997403473,30.049499997403473,30.049499997403473,90.0,0.004177661079744785,0.0,30,30,30,30,30,30,30,30,30,30,30
DELETE,/tasks/1111,1,0,69.92080000054557,69.92080000054557,69.92080000054557,69.92080000054557,0.0,0.004177661079744785,0.0,70,70,70,70,70,70,70,70,70,70,70
PATCH,/tasks/1111,1,0,105.14310000144178,105.14310000144178,105.14310000144178,105.14310000144178,97.0,0.004177661079744785,0.0,110,110,110,110,110,110,110,110,110,110,110
