Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1774505906,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774505907,2,,Aggregated,0.000000,0.000000,14,14,30,30,30,30,30,30,30,30,30,4,0,14,17.4410750005336,11.648399995465297,30.253800003265496,9033.0
1774505908,4,,Aggregated,0.000000,0.000000,12,14,14,28,30,30,30,30,30,30,30,9,0,12,15.135177776553771,5.837199998495635,30.253800003265496,8080.555555555556
1774505909,6,,Aggregated,0.000000,0.000000,14,15,21,28,30,33,33,33,33,33,33,14,0,12,15.799764284955538,4.845299998123664,32.68760000355542,6537.428571428572
1774505910,10,,Aggregated,4.500000,0.000000,14,21,28,30,32,33,40,40,40,40,40,22,0,14,17.859622726973612,4.845299998123664,40.026300004683435,5903.818181818182
1774505911,12,,Aggregated,4.500000,0.000000,17,23,28,30,33,35,40,40,40,40,40,30,0,15,18.768809999407193,4.845299998123664,40.026300004683435,6254.1
1774505912,14,,Aggregated,5.250000,0.000000,15,23,28,30,33,40,52,52,52,52,52,39,0,15,18.900074358195223,4.845299998123664,51.81279999669641,5834.5641025641025
1774505913,16,,Aggregated,6.000000,0.000000,14,23,28,30,35,41,58,58,58,58,58,50,0,14,18.943565999652492,4.845299998123664,57.80209999647923,4969.7
1774505914,18,,Aggregated,6.333333,0.000000,13,21,26,29,33,41,52,58,58,58,58,59,0,13,18.21816440657377,4.7964000041247346,57.80209999647923,4911.71186440678
1774505915,20,,Aggregated,6.333333,0.000000,13,21,25,29,33,40,52,58,58,58,58,69,0,13,18.24115362293357,4.7964000041247346,57.80209999647923,4510.188405797101
1774505916,22,,Aggregated,7.250000,0.000000,12,21,23,26,33,38,52,58,58,58,58,82,0,12,17.259613414353225,3.5663000016938895,57.80209999647923,4824.975609756098
1774505917,24,,Aggregated,7.666667,0.000000,12,21,23,25,32,38,52,58,58,58,58,95,0,12,16.85195368382234,3.4296000012545846,57.80209999647923,5063.41052631579
1774505918,26,,Aggregated,8.100000,0.000000,12,19,23,24,33,38,48,52,58,58,58,110,0,12,16.544401817836015,3.4296000012545846,57.80209999647923,5174.209090909091
1774505919,28,,Aggregated,8.900000,0.000000,12,21,23,25,33,41,58,61,78,78,78,120,0,12,17.381565832935546,3.4296000012545846,77.71869999851333,5116.891666666666
1774505920,30,,Aggregated,9.800000,0.000000,12,21,23,24,32,40,58,61,78,78,78,137,0,12,17.175329926663355,3.4296000012545846,77.71869999851333,5150.540145985401
1774505921,32,,Aggregated,10.400000,0.000000,12,19,23,24,31,38,52,61,78,78,78,155,0,12,16.591907096576065,3.4296000012545846,77.71869999851333,5456.387096774193
1774505922,34,,Aggregated,10.900000,0.000000,12,17,22,23,31,37,52,61,78,78,78,169,0,12,16.258390532393552,3.4296000012545846,77.71869999851333,5290.100591715976
1774505923,36,,Aggregated,12.200000,0.000000,11,17,22,23,31,37,52,61,78,78,78,188,0,11,15.989659042462973,3.4296000012545846,77.71869999851333,5534.771276595745
1774505924,38,,Aggregated,12.800000,0.000000,12,17,22,23,30,37,48,58,78,78,78,210,0,11,15.840511904735607,3.4296000012545846,77.71869999851333,5674.457142857143
1774505925,40,,Aggregated,13.400000,0.000000,11,16,21,23,30,36,48,58,78,78,78,228,0,11,15.576512280683362,3.4296000012545846,77.71869999851333,6238.083333333333
1774505926,42,,Aggregated,14.400000,0.000000,11,16,21,23,30,36,52,58,78,78,78,250,0,11,15.584869200072717,3.1803999954718165,77.71869999851333,6530.936
1774505927,44,,Aggregated,15.300000,0.000000,11,16,21,23,30,36,48,58,78,78,78,274,0,11,15.574146350491988,3.1803999954718165,77.71869999851333,6939.675182481752
1774505928,46,,Aggregated,16.100000,0.000000,11,16,21,23,30,36,48,58,78,78,78,295,0,11,15.414720678048887,3.1803999954718165,77.71869999851333,7098.142372881356
1774505929,48,,Aggregated,17.100000,0.000000,11,16,21,23,30,36,48,52,78,78,78,321,0,11,15.592081619972781,3.1803999954718165,77.71869999851333,7047.255451713396
1774505930,50,,Aggregated,18.000000,0.000000,11,16,21,23,30,37,48,55,78,78,78,347,0,11,15.570403458224307,3.1803999954718165,77.71869999851333,7262.913544668588
