Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/tasks/,71,0,9,10.472595775098226,5.386400000134017,34.740399998554494,21011.971830985916,1.2148601002781936,0.0,9,11,11,12,15,21,24,35,35,35,35
POST,/tasks/,75,0,21,20.164834666453924,7.648599996173289,51.115399997797795,89.4,1.2833029228290778,0.0,21,23,25,26,33,36,44,51,51,51,51
DELETE,/tasks/201,1,0,11.696800000208896,11.696800000208896,11.696800000208896,11.696800000208896,0.0,0.017110705637721036,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/tasks/201,1,0,6.557799999427516,6.557799999427516,6.557799999427516,6.557799999427516,96.0,0.017110705637721036,0.0,7,7,7,7,7,7,7,7,7,7,7
PATCH,/tasks/201,1,0,14.18549999652896,14.18549999652896,14.18549999652896,14.18549999652896,97.0,0.017110705637721036,0.0,14,14,14,14,14,14,14,14,14,14,14
PUT,/tasks/201,3,0,27,28.358066667957853,10.720700003730599,47.43589999998221,95.66666666666667,0.05133211691316311,0.0,27,27,47,47,47,47,47,47,47,47,47
DELETE,/tasks/205,1,0,33.392500001355074,33.392500001355074,33.392500001355074,33.392500001355074,0.0,0.017110705637721036,0.0,33,33,33,33,33,33,33,33,33,33,33
PATCH,/tasks/205,1,0,19.54400000249734,19.54400000249734,19.54400000249734,19.54400000249734,88.0,0.017110705637721036,0.0,20,20,20,20,20,20,20,20,20,20,20
DELETE,/tasks/208,1,0,31.194800001685508,31.194800001685508,31.194800001685508,31.194800001685508,0.0,0.017110705637721036,0.0,31,31,31,31,31,31,31,31,31,31,31
PATCH,/tasks/208,1,0,25.718199998664204,25.718199998664204,25.718199998664204,25.718199998664204,97.0,0.017110705637721036,0.0,26,26,26,26,26,26,26,26,26,26,26
PUT,/tasks/208,1,0,13.305200001923367,13.305200001923367,13.305200001923367,13.305200001923367,96.0,0.017110705637721036,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/tasks/209,1,0,8.247400000982452,8.247400000982452,8.247400000982452,8.247400000982452,92.0,0.017110705637721036,0.0,8,8,8,8,8,8,8,8,8,8,8
PATCH,/tasks/209,1,0,9.985799995774869,9.985799995774869,9.985799995774869,9.985799995774869,92.0,0.017110705637721036,0.0,10,10,10,10,10,10,10,10,10,10,10
PATCH,/tasks/211,2,0,4.237400004058145,10.60950000101002,4.237400004058145,16.981599997961894,87.5,0.03422141127544207,0.0,17,17,17,17,17,17,17,17,17,17,17
PUT,/tasks/213,1,0,9.19399999838788,9.19399999838788,9.19399999838788,9.19399999838788,96.0,0.017110705637721036,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/tasks/214,1,0,13.673599998583086,13.673599998583086,13.673599998583086,13.673599998583086,89.0,0.017110705637721036,0.0,14,14,14,14,14,14,14,14,14,14,14
PATCH,/tasks/214,2,0,5.480799998622388,5.956199998763623,5.480799998622388,6.431599998904858,89.0,0.03422141127544207,0.0,6,6,6,6,6,6,6,6,6,6,6
PATCH,/tasks/215,1,0,8.642099994176533,8.642099994176533,8.642099994176533,8.642099994176533,92.0,0.017110705637721036,0.0,9,9,9,9,9,9,9,9,9,9,9
PUT,/tasks/215,1,0,23.87789999920642,23.87789999920642,23.87789999920642,23.87789999920642,96.0,0.017110705637721036,0.0,24,24,24,24,24,24,24,24,24,24,24
DELETE,/tasks/216,1,0,12.270599996554665,12.270599996554665,12.270599996554665,12.270599996554665,0.0,0.017110705637721036,0.0,12,12,12,12,12,12,12,12,12,12,12
DELETE,/tasks/218,1,0,23.33830000134185,23.33830000134185,23.33830000134185,23.33830000134185,0.0,0.017110705637721036,0.0,23,23,23,23,23,23,23,23,23,23,23
GET,/tasks/218,1,0,3.8351999974111095,3.8351999974111095,3.8351999974111095,3.8351999974111095,96.0,0.017110705637721036,0.0,4,4,4,4,4,4,4,4,4,4,4
PATCH,/tasks/218,1,0,10.139699996216223,10.139699996216223,10.139699996216223,10.139699996216223,96.0,0.017110705637721036,0.0,10,10,10,10,10,10,10,10,10,10,10
PUT,/tasks/218,2,0,10.185399994952604,17.344699997920543,10.185399994952604,24.50400000088848,96.0,0.03422141127544207,0.0,25,25,25,25,25,25,25,25,25,25,25
PATCH,/tasks/219,1,0,18.95719999447465,18.95719999447465,18.95719999447465,18.95719999447465,89.0,0.017110705637721036,0.0,19,19,19,19,19,19,19,19,19,19,19
GET,/tasks/221,1,0,7.6763999968534335,7.6763999968534335,7.6763999968534335,7.6763999968534335,89.0,0.017110705637721036,0.0,8,8,8,8,8,8,8,8,8,8,8
PUT,/tasks/221,1,0,29.531000000133645,29.531000000133645,29.531000000133645,29.531000000133645,96.0,0.017110705637721036,0.0,30,30,30,30,30,30,30,30,30,30,30
GET,/tasks/223,1,0,8.91810000030091,8.91810000030091,8.91810000030091,8.91810000030091,96.0,0.017110705637721036,0.0,9,9,9,9,9,9,9,9,9,9,9
PATCH,/tasks/223,1,0,9.957299997040536,9.957299997040536,9.957299997040536,9.957299997040536,89.0,0.017110705637721036,0.0,10,10,10,10,10,10,10,10,10,10,10
PUT,/tasks/223,1,0,23.077999998349696,23.077999998349696,23.077999998349696,23.077999998349696,96.0,0.017110705637721036,0.0,23,23,23,23,23,23,23,23,23,23,23
GET,/tasks/224,1,0,6.054700003005564,6.054700003005564,6.054700003005564,6.054700003005564,89.0,0.017110705637721036,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/tasks/226,2,0,7,7.757450002827682,6.594900005438831,8.920000000216532,89.0,0.03422141127544207,0.0,9,9,9,9,9,9,9,9,9,9,9
DELETE,/tasks/227,1,0,21.10259999608388,21.10259999608388,21.10259999608388,21.10259999608388,0.0,0.017110705637721036,0.0,21,21,21,21,21,21,21,21,21,21,21
PATCH,/tasks/228,1,0,4.650099996069912,4.650099996069912,4.650099996069912,4.650099996069912,89.0,0.017110705637721036,0.0,5,5,5,5,5,5,5,5,5,5,5
