Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/tasks/,707,1,14,17.86271513447248,1.7729999963194132,170.711200000369,48182.52899575672,5.934040506497694,0.008393268043136766,14,18,22,24,31,38,47,57,170,170,170
POST,/tasks/,802,0,13,19.88218067336695,7.072200001857709,176.01049999939278,89.16084788029926,6.731400970595686,0.0,13,20,23,25,37,53,75,120,180,180,180
PATCH,/tasks/201,1,0,5.696200001693796,5.696200001693796,5.696200001693796,5.696200001693796,96.0,0.008393268043136766,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/tasks/201,2,0,25,29.302700000698678,24.629899999126792,33.975500002270564,96.0,0.01678653608627353,0.0,34,34,34,34,34,34,34,34,34,34,34
PUT,/tasks/203,1,0,34.766400000080466,34.766400000080466,34.766400000080466,34.766400000080466,96.0,0.008393268043136766,0.0,35,35,35,35,35,35,35,35,35,35,35
PUT,/tasks/205,2,0,11,14.673000001494074,10.66759999957867,18.67840000340948,96.0,0.01678653608627353,0.0,19,19,19,19,19,19,19,19,19,19,19
DELETE,/tasks/206,1,0,13.386200000240933,13.386200000240933,13.386200000240933,13.386200000240933,0.0,0.008393268043136766,0.0,13,13,13,13,13,13,13,13,13,13,13
PATCH,/tasks/208,1,0,12.887300006696023,12.887300006696023,12.887300006696023,12.887300006696023,89.0,0.008393268043136766,0.0,13,13,13,13,13,13,13,13,13,13,13
PUT,/tasks/208,2,0,10.209499996562954,15.646249998098938,10.209499996562954,21.08299999963492,96.0,0.01678653608627353,0.0,21,21,21,21,21,21,21,21,21,21,21
GET,/tasks/209,1,0,4.774000000907108,4.774000000907108,4.774000000907108,4.774000000907108,94.0,0.008393268043136766,0.0,5,5,5,5,5,5,5,5,5,5,5
PUT,/tasks/209,1,0,9.285699998144992,9.285699998144992,9.285699998144992,9.285699998144992,94.0,0.008393268043136766,0.0,9,9,9,9,9,9,9,9,9,9,9
DELETE,/tasks/211,1,0,9.788299998035654,9.788299998035654,9.788299998035654,9.788299998035654,0.0,0.008393268043136766,0.0,10,10,10,10,10,10,10,10,10,10,10
DELETE,/tasks/212,1,0,6.8795999977737665,6.8795999977737665,6.8795999977737665,6.8795999977737665,0.0,0.008393268043136766,0.0,7,7,7,7,7,7,7,7,7,7,7
DELETE,/tasks/214,1,0,21.9135000006645,21.9135000006645,21.9135000006645,21.9135000006645,0.0,0.008393268043136766,0.0,22,22,22,22,22,22,22,22,22,22,22
PATCH,/tasks/214,1,0,36.95770000194898,36.95770000194898,36.95770000194898,36.95770000194898,93.0,0.008393268043136766,0.0,37,37,37,37,37,37,37,37,37,37,37
DELETE,/tasks/215,1,0,23.7394000068889,23.7394000068889,23.7394000068889,23.7394000068889,0.0,0.008393268043136766,0.0,24,24,24,24,24,24,24,24,24,24,24
PUT,/tasks/215,1,0,10.512500004551839,10.512500004551839,10.512500004551839,10.512500004551839,96.0,0.008393268043136766,0.0,11,11,11,11,11,11,11,11,11,11,11
DELETE,/tasks/219,1,0,7.183299996540882,7.183299996540882,7.183299996540882,7.183299996540882,0.0,0.008393268043136766,0.0,7,7,7,7,7,7,7,7,7,7,7
DELETE,/tasks/220,1,0,16.525799997907598,16.525799997907598,16.525799997907598,16.525799997907598,0.0,0.008393268043136766,0.0,17,17,17,17,17,17,17,17,17,17,17
PUT,/tasks/221,1,0,8.865200004947837,8.865200004947837,8.865200004947837,8.865200004947837,96.0,0.008393268043136766,0.0,9,9,9,9,9,9,9,9,9,9,9
PUT,/tasks/224,3,0,21,22.718466665537562,9.252099996956531,37.611899999319576,96.0,0.0251798041294103,0.0,21,21,38,38,38,38,38,38,38,38,38
GET,/tasks/225,1,0,3.7528000029851682,3.7528000029851682,3.7528000029851682,3.7528000029851682,95.0,0.008393268043136766,0.0,4,4,4,4,4,4,4,4,4,4,4
PUT,/tasks/225,1,0,10.514499997952953,10.514499997952953,10.514499997952953,10.514499997952953,95.0,0.008393268043136766,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/tasks/227,1,0,5.734300000767689,5.734300000767689,5.734300000767689,5.734300000767689,93.0,0.008393268043136766,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/tasks/227,1,0,9.143499999481719,9.143499999481719,9.143499999481719,9.143499999481719,96.0,0.008393268043136766,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/tasks/229,1,0,8.733399998163804,8.733399998163804,8.733399998163804,8.733399998163804,89.0,0.008393268043136766,0.0,9,9,9,9,9,9,9,9,9,9,9
PATCH,/tasks/229,1,0,6.935999997949693,6.935999997949693,6.935999997949693,6.935999997949693,89.0,0.008393268043136766,0.0,7,7,7,7,7,7,7,7,7,7,7
PUT,/tasks/229,1,0,11.043300000892486,11.043300000892486,11.043300000892486,11.043300000892486,96.0,0.008393268043136766,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/tasks/230,2,0,4,4.083349998836638,3.8480000002891757,4.318699997384101,96.0,0.01678653608627353,0.0,4,4,4,4,4,4,4,4,4,4,4
PATCH,/tasks/230,2,0,5,7.334499998250976,4.759600000397768,9.909399996104185,96.5,0.01678653608627353,0.0,10,10,10,10,10,10,10,10,10,10,10
PUT,/tasks/230,3,0,24,25.10750000025534,9.700599999632686,41.22270000516437,96.0,0.0251798041294103,0.0,24,24,41,41,41,41,41,41,41,41,41
PATCH,/tasks/231,1,0,4.589099997247104,4.589099997247104,4.589099997247104,4.589099997247104,89.0,0.008393268043136766,0.0,5,5,5,5,5,5,5,5,5,5,5
PUT,/tasks/231,1,0,11.797800005297177,11.797800005297177,11.797800005297177,11.797800005297177,96.0,0.008393268043136766,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/tasks/234,3,0,8,11.114666667708661,5.091999999422114,20.37170000403421,91.33333333333333,0.0251798041294103,0.0,8,8,20,20,20,20,20,20,20,20,20
PATCH,/tasks/234,2,0,5.11039999400964,8.419799996772781,5.11039999400964,11.729199999535922,88.5,0.01678653608627353,0.0,12,12,12,12,12,12,12,12,12,12,12
PUT,/tasks/234,1,0,10.020800000347663,10.020800000347663,10.020800000347663,10.020800000347663,96.0,0.008393268043136766,0.0,10,10,10,10,10,10,10,10,10,10,10
DELETE,/tasks/235,1,0,16.615399996226188,16.615399996226188,16.615399996226188,16.615399996226188,0.0,0.008393268043136766,0.0,17,17,17,17,17,17,17,17,17,17,17
GET,/tasks/235,1,0,13.548200004152022,13.548200004152022,13.548200004152022,13.548200004152022,96.0,0.008393268043136766,0.0,14,14,14,14,14,14,14,14,14,14,14
PUT,/tasks/235,1,0,8.409699999901932,8.409699999901932,8.409699999901932,8.409699999901932,96.0,0.008393268043136766,0.0,8,8,8,8,8,8,8,8,8,8,8
