Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1774505653,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774505654,3,,Aggregated,0.000000,0.000000,38,38,44,44,48,48,48,48,48,48,48,6,0,35,35.602516665676376,15.149399994697887,47.657100003561936,93.33333333333333
1774505655,6,,Aggregated,0.000000,0.000000,34,38,41,44,48,76,76,76,76,76,76,13,0,34,31.936223075787822,10.66759999957867,75.76939999853494,85.61538461538461
1774505656,9,,Aggregated,6.000000,0.000000,25,35,41,44,54,76,83,83,83,83,83,22,0,24,29.617145453812554,6.8795999977737665,82.90459999989253,922.4545454545455
1774505657,12,,Aggregated,6.000000,0.000000,19,34,38,41,54,76,83,83,83,83,83,32,0,17,26.97969687483237,6.8795999977737665,82.90459999989253,663.09375
1774505658,15,,Aggregated,6.666667,0.000000,19,34,37,41,54,66,83,83,83,83,83,41,0,19,27.25615365843845,6.8795999977737665,82.90459999989253,1485.0487804878048
1774505659,18,,Aggregated,7.250000,0.000000,18,25,34,38,54,66,76,83,83,83,83,55,0,18,24.777670909349002,5.696200001693796,82.90459999989253,2210.9636363636364
1774505660,21,,Aggregated,7.800000,0.000000,17,24,34,37,54,59,76,83,83,83,83,68,0,17,23.310623529516093,4.589099997247104,82.90459999989253,2100.3529411764707
1774505661,24,,Aggregated,8.166667,0.000000,14,22,29,35,53,59,83,85,85,85,85,85,0,14,22.066661176487447,3.7528000029851682,84.7042000023066,2442.105882352941
1774505662,27,,Aggregated,9.000000,0.000000,13,19,25,34,49,59,76,83,85,85,85,102,0,13,20.68868137269187,3.7528000029851682,84.7042000023066,3345.1470588235293
1774505663,30,,Aggregated,9.625000,0.000000,13,21,27,34,49,62,76,83,85,85,85,116,0,13,20.822382758806583,3.695999999763444,84.7042000023066,3336.4827586206898
