Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/tasks/,2562,0,46,166.212539812649,4.6541000047000125,3406.4504000052693,122963.4906323185,10.698956726335908,0.0,46,78,120,160,300,810,1800,2200,3300,3400,3400
POST,/tasks/,2681,0,28,224.10366094739138,7.299700002477039,4618.895199993858,89.74710928757926,11.19590280378867,0.0,28,65,160,270,730,1200,2000,2600,3500,4600,4600
GET,/tasks/1002,2,0,5.4069000034360215,871.3888499987661,5.4069000034360215,1737.3707999940962,90.0,0.00835203491517245,0.0,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700
GET,/tasks/1003,2,0,4.148899999563582,4.969949997757794,4.148899999563582,5.790999995952006,93.5,0.00835203491517245,0.0,6,6,6,6,6,6,6,6,6,6,6
PATCH,/tasks/1003,2,0,13,62.953000004199566,12.83250000415137,113.07350000424776,97.5,0.00835203491517245,0.0,110,110,110,110,110,110,110,110,110,110,110
PUT,/tasks/1003,3,0,9,15.745299999252893,8.78010000451468,29.111999996530358,97.0,0.012528052372758674,0.0,9,9,29,29,29,29,29,29,29,29,29
GET,/tasks/1004,1,0,5.036599999584723,5.036599999584723,5.036599999584723,5.036599999584723,89.0,0.004176017457586225,0.0,5,5,5,5,5,5,5,5,5,5,5
PATCH,/tasks/1004,1,0,1703.053400000499,1703.053400000499,1703.053400000499,1703.053400000499,89.0,0.004176017457586225,0.0,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700
GET,/tasks/1005,1,0,14.17780000338098,14.17780000338098,14.17780000338098,14.17780000338098,90.0,0.004176017457586225,0.0,14,14,14,14,14,14,14,14,14,14,14
GET,/tasks/1006,1,0,36.21480000583688,36.21480000583688,36.21480000583688,36.21480000583688,89.0,0.004176017457586225,0.0,36,36,36,36,36,36,36,36,36,36,36
DELETE,/tasks/1008,1,0,9.231600000930484,9.231600000930484,9.231600000930484,9.231600000930484,0.0,0.004176017457586225,0.0,9,9,9,9,9,9,9,9,9,9,9
PUT,/tasks/1009,1,0,57.51279999822145,57.51279999822145,57.51279999822145,57.51279999822145,97.0,0.004176017457586225,0.0,58,58,58,58,58,58,58,58,58,58,58
PATCH,/tasks/1011,1,0,24.014299997361377,24.014299997361377,24.014299997361377,24.014299997361377,98.0,0.004176017457586225,0.0,24,24,24,24,24,24,24,24,24,24,24
PUT,/tasks/1011,1,0,17.815999999584164,17.815999999584164,17.815999999584164,17.815999999584164,97.0,0.004176017457586225,0.0,18,18,18,18,18,18,18,18,18,18,18
GET,/tasks/1012,7,0,10,24.033442856827087,4.131699999561533,71.60930000100052,97.42857142857143,0.029232122203103575,0.0,10,34,34,34,72,72,72,72,72,72,72
PATCH,/tasks/1012,9,0,55,598.3359333315295,7.086699995852541,2202.7737999960664,97.55555555555556,0.03758415711827603,0.0,55,200,790,2000,2200,2200,2200,2200,2200,2200,2200
PUT,/tasks/1012,4,0,13,83.71282500047528,10.990800001309253,298.30869999568677,97.0,0.0167040698303449,0.0,13,13,300,300,300,300,300,300,300,300,300
PATCH,/tasks/1013,1,0,76.62649999838322,76.62649999838322,76.62649999838322,76.62649999838322,90.0,0.004176017457586225,0.0,77,77,77,77,77,77,77,77,77,77,77
GET,/tasks/1014,1,0,7.46429999708198,7.46429999708198,7.46429999708198,7.46429999708198,90.0,0.004176017457586225,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/tasks/1015,1,0,3.6194999993313104,3.6194999993313104,3.6194999993313104,3.6194999993313104,90.0,0.004176017457586225,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/tasks/1018,2,0,3.332200001750607,135.2343500002462,3.332200001750607,267.1364999987418,97.5,0.00835203491517245,0.0,270,270,270,270,270,270,270,270,270,270,270
PATCH,/tasks/1018,3,0,10,11.316933334455825,8.656400001200382,15.766099997563288,97.0,0.012528052372758674,0.0,10,10,16,16,16,16,16,16,16,16,16
PUT,/tasks/1018,4,0,10,10.19195000117179,8.64700000238372,11.26510000176495,96.75,0.0167040698303449,0.0,11,11,11,11,11,11,11,11,11,11,11
PATCH,/tasks/1019,2,0,400.0,1267.6002500011236,396.79910000268137,2138.401399999566,93.5,0.00835203491517245,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
