Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/tasks/,63,0,11,34.7829571424333,5.2864999961457215,1394.3970000036643,21252.396825396827,1.0845158971200626,0.0,11,11,12,17,22,29,62,1400,1400,1400,1400
POST,/tasks/,87,0,21,61.15442413810624,7.517899997765198,1882.9627000013716,89.35632183908046,1.4976648103086578,0.0,21,24,25,27,35,55,1600,1900,1900,1900,1900
PUT,/tasks/202,1,0,43.032099994888995,43.032099994888995,43.032099994888995,43.032099994888995,96.0,0.017214538049524802,0.0,43,43,43,43,43,43,43,43,43,43,43
PUT,/tasks/204,1,0,999.5473999952083,999.5473999952083,999.5473999952083,999.5473999952083,96.0,0.017214538049524802,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
DELETE,/tasks/206,1,0,13.294500000483822,13.294500000483822,13.294500000483822,13.294500000483822,0.0,0.017214538049524802,0.0,13,13,13,13,13,13,13,13,13,13,13
DELETE,/tasks/207,1,0,35.54279999661958,35.54279999661958,35.54279999661958,35.54279999661958,0.0,0.017214538049524802,0.0,36,36,36,36,36,36,36,36,36,36,36
DELETE,/tasks/209,1,0,19.753799999307375,19.753799999307375,19.753799999307375,19.753799999307375,0.0,0.017214538049524802,0.0,20,20,20,20,20,20,20,20,20,20,20
PATCH,/tasks/209,1,0,23.820499998691957,23.820499998691957,23.820499998691957,23.820499998691957,97.0,0.017214538049524802,0.0,24,24,24,24,24,24,24,24,24,24,24
PUT,/tasks/209,2,0,25.4748999941512,6069.043649997184,25.4748999941512,12112.612400000216,96.0,0.034429076099049605,0.0,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
PATCH,/tasks/210,1,0,10.284600000886712,10.284600000886712,10.284600000886712,10.284600000886712,96.0,0.017214538049524802,0.0,10,10,10,10,10,10,10,10,10,10,10
PUT,/tasks/210,3,0,18,16.36376666526,8.224899997003376,22.72400000219932,96.0,0.05164361414857441,0.0,18,18,23,23,23,23,23,23,23,23,23
PATCH,/tasks/213,1,0,8.55470000533387,8.55470000533387,8.55470000533387,8.55470000533387,96.0,0.017214538049524802,0.0,9,9,9,9,9,9,9,9,9,9,9
PUT,/tasks/213,1,0,12.582399998791516,12.582399998791516,12.582399998791516,12.582399998791516,96.0,0.017214538049524802,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/tasks/214,1,0,5.941700001130812,5.941700001130812,5.941700001130812,5.941700001130812,93.0,0.017214538049524802,0.0,6,6,6,6,6,6,6,6,6,6,6
PATCH,/tasks/214,1,0,5.905400001211092,5.905400001211092,5.905400001211092,5.905400001211092,93.0,0.017214538049524802,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/tasks/216,1,0,10.671999996702652,10.671999996702652,10.671999996702652,10.671999996702652,96.0,0.017214538049524802,0.0,11,11,11,11,11,11,11,11,11,11,11
DELETE,/tasks/217,1,0,21.23090000532102,21.23090000532102,21.23090000532102,21.23090000532102,0.0,0.017214538049524802,0.0,21,21,21,21,21,21,21,21,21,21,21
GET,/tasks/217,1,0,4.191799998807255,4.191799998807255,4.191799998807255,4.191799998807255,89.0,0.017214538049524802,0.0,4,4,4,4,4,4,4,4,4,4,4
PUT,/tasks/217,1,0,13.30009999946924,13.30009999946924,13.30009999946924,13.30009999946924,96.0,0.017214538049524802,0.0,13,13,13,13,13,13,13,13,13,13,13
DELETE,/tasks/218,1,0,12749.810599998455,12749.810599998455,12749.810599998455,12749.810599998455,0.0,0.017214538049524802,0.0,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000
DELETE,/tasks/219,1,0,11.333299997204449,11.333299997204449,11.333299997204449,11.333299997204449,0.0,0.017214538049524802,0.0,11,11,11,11,11,11,11,11,11,11,11
PATCH,/tasks/219,1,0,6.090399998356588,6.090399998356588,6.090399998356588,6.090399998356588,89.0,0.017214538049524802,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/tasks/219,1,0,11.813199998869095,11.813199998869095,11.813199998869095,11.813199998869095,96.0,0.017214538049524802,0.0,12,12,12,12,12,12,12,12,12,12,12
DELETE,/tasks/221,1,0,19.15490000101272,19.15490000101272,19.15490000101272,19.15490000101272,0.0,0.017214538049524802,0.0,19,19,19,19,19,19,19,19,19,19,19
DELETE,/tasks/222,1,0,8.177199997589923,8.177199997589923,8.177199997589923,8.177199997589923,0.0,0.017214538049524802,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/tasks/222,1,0,3.60700000601355,3.60700000601355,3.60700000601355,3.60700000601355,89.0,0.017214538049524802,0.0,4,4,4,4,4,4,4,4,4,4,4
PATCH,/tasks/222,1,0,15.018599995528348,15.018599995528348,15.018599995528348,15.018599995528348,89.0,0.017214538049524802,0.0,15,15,15,15,15,15,15,15,15,15,15
GET,/tasks/226,2,0,5.258299999695737,6.697799999528797,5.258299999695737,8.137299999361858,96.0,0.034429076099049605,0.0,8,8,8,8,8,8,8,8,8,8,8
PUT,/tasks/226,1,0,9.669300001405645,9.669300001405645,9.669300001405645,9.669300001405645,96.0,0.017214538049524802,0.0,10,10,10,10,10,10,10,10,10,10,10
DELETE,/tasks/227,1,0,12.284100004762877,12.284100004762877,12.284100004762877,12.284100004762877,0.0,0.017214538049524802,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/tasks/227,5,0,8,1657.605119998334,3.878199997416232,8255.634699999064,88.6,0.08607269024762401,0.0,8,12,12,8300,8300,8300,8300,8300,8300,8300,8300
PATCH,/tasks/227,2,0,9.772900004463736,9.644050001952564,9.515199999441393,9.772900004463736,88.5,0.034429076099049605,0.0,10,10,10,10,10,10,10,10,10,10,10
PUT,/tasks/229,1,0,7.832899995264597,7.832899995264597,7.832899995264597,7.832899995264597,96.0,0.017214538049524802,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/tasks/231,1,0,9.127099998295307,9.127099998295307,9.127099998295307,9.127099998295307,89.0,0.017214538049524802,0.0,9,9,9,9,9,9,9,9,9,9,9
DELETE,/tasks/232,1,0,23.208899998280685,23.208899998280685,23.208899998280685,23.208899998280685,0.0,0.017214538049524802,0.0,23,23,23,23,23,23,23,23,23,23,23
DELETE,/tasks/233,1,0,12.362599998596124,12.362599998596124,12.362599998596124,12.362599998596124,0.0,0.017214538049524802,0.0,12,12,12,12,12,12,12,12,12,12,12
PUT,/tasks/234,2,0,8,14.05700000032084,7.767200004309416,20.346799996332265,96.0,0.034429076099049605,0.0,20,20,20,20,20,20,20,20,20,20,20
PATCH,/tasks/239,1,0,24.391999999352265,24.391999999352265,24.391999999352265,24.391999999352265,88.0,0.017214538049524802,0.0,24,24,24,24,24,24,24,24,24,24,24
GET,/tasks/241,1,0,11.605899999267422,11.605899999267422,11.605899999267422,11.605899999267422,89.0,0.017214538049524802,0.0,12,12,12,12,12,12,12,12,12,12,12
PATCH,/tasks/243,1,0,27.593500002694782,27.593500002694782,27.593500002694782,27.593500002694782,88.0,0.017214538049524802,0.0,28,28,28,28,28,28,28,28,28,28,28
PUT,/tasks/243,1,0,38.49569999874802,38.49569999874802,38.49569999874802,38.49569999874802,96.0,0.017214538049524802,0.0,38,38,38,38,38,38,38,38,38,38,38
