Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/tasks/,658,0,14,247.1106770516679,4.8540999996475875,9845.691499998793,45934.34650455927,5.52099350307463,0.0,14,19,24,27,56,1000,4600,8600,9800,9800,9800
POST,/tasks/,734,0,16,324.0280009535677,7.290800000191666,9991.26200000319,89.17983651226157,6.158676643247384,0.0,16,23,28,36,92,1600,6700,8900,10000,10000,10000
DELETE,/tasks/201,1,0,11.747800002922304,11.747800002922304,11.747800002922304,11.747800002922304,0.0,0.008390567633852021,0.0,12,12,12,12,12,12,12,12,12,12,12
PATCH,/tasks/202,1,0,25.580000001355074,25.580000001355074,25.580000001355074,25.580000001355074,93.0,0.008390567633852021,0.0,26,26,26,26,26,26,26,26,26,26,26
DELETE,/tasks/203,1,0,6.732200003170874,6.732200003170874,6.732200003170874,6.732200003170874,0.0,0.008390567633852021,0.0,7,7,7,7,7,7,7,7,7,7,7
PUT,/tasks/203,2,0,9.158700006082654,10.264600001391955,9.158700006082654,11.370499996701255,96.0,0.016781135267704042,0.0,11,11,11,11,11,11,11,11,11,11,11
DELETE,/tasks/205,1,0,7.747499999823049,7.747499999823049,7.747499999823049,7.747499999823049,0.0,0.008390567633852021,0.0,8,8,8,8,8,8,8,8,8,8,8
PATCH,/tasks/205,1,0,7.845199994335417,7.845199994335417,7.845199994335417,7.845199994335417,92.0,0.008390567633852021,0.0,8,8,8,8,8,8,8,8,8,8,8
DELETE,/tasks/206,1,0,19.550299999536946,19.550299999536946,19.550299999536946,19.550299999536946,0.0,0.008390567633852021,0.0,20,20,20,20,20,20,20,20,20,20,20
PUT,/tasks/209,3,0,46,40.20239999711824,23.422399994160514,51.20049999823095,96.0,0.025171702901556063,0.0,46,46,51,51,51,51,51,51,51,51,51
PATCH,/tasks/210,2,0,15,17.73920000050566,14.857299996947404,20.62110000406392,92.5,0.016781135267704042,0.0,21,21,21,21,21,21,21,21,21,21,21
PATCH,/tasks/212,3,0,10,204.22603333524117,4.300300002796575,598.1905000007828,88.0,0.025171702901556063,0.0,10,10,600,600,600,600,600,600,600,600,600
PATCH,/tasks/213,1,0,35.84720000071684,35.84720000071684,35.84720000071684,35.84720000071684,88.0,0.008390567633852021,0.0,36,36,36,36,36,36,36,36,36,36,36
PUT,/tasks/213,1,0,12.543699995148927,12.543699995148927,12.543699995148927,12.543699995148927,96.0,0.008390567633852021,0.0,13,13,13,13,13,13,13,13,13,13,13
DELETE,/tasks/216,1,0,18.253100002766587,18.253100002766587,18.253100002766587,18.253100002766587,0.0,0.008390567633852021,0.0,18,18,18,18,18,18,18,18,18,18,18
PUT,/tasks/216,2,0,10.000599999330007,12.498600000981241,10.000599999330007,14.996600002632476,95.5,0.016781135267704042,0.0,15,15,15,15,15,15,15,15,15,15,15
